userName,score,at,content
Dara Rizqi Isnaini Armadani,1,2021-09-19 00:55:29,It's my second review. I write this because the developer asks me to email my complain in the first review including the screenshot about the problem I have faced when using this app. It's bothersome to email when I clearly said in my first review that my problem is the app's slow enough to detect my location when I need the location correctly to scan QR code before entering KRL station. Can't they read? Just make sure the app can accommodate when thousands of user is using it at the same time.
Meine van Noordwijk,2,2021-09-20 11:39:39,"The app now allows for other nationalities to register their passport. But somehow a countrycode is put in front of the digits entered and the last three fall off. Existingvaccination records are not recognized as a consequence. Please fix this bug, terima kasih"
Koredianto Usman,1,2021-10-13 01:42:07,"Cannot change birthday data.. it keeps blank after we select a certain date. Oke birthday problem is solved by manually copas text from other texting app such as whatsapp. Another problem is not solved yet is, when you take picture for profile pic, after you save it, then voila, it dissapear again..."
Nyoman Dimas,1,2021-09-22 09:23:12,"this app requires user to allow access to user's location at all times, otherwise user can't use the app at all. all while the govt mandate the use of this app if you want to access many public places such as mall, public transportation stations, even workplaces. this is a major breach of user's privacy and to think that they use taxpayers' money to fund this rubbish app is a slap in the face for us taxpayers. my suggestion: give users choice to allow location access only when needed."
Badmingoose,1,2021-10-02 08:14:47,Cmon...please improve this garbage mapping system. You have to turn on turn off the data otherwise you will stuck in somewhere else. And you can not log in into certain places. Takes me 25-30min to resolve this whenever I try to use this apps. -1000
Andreas Wiratmaja,1,2021-10-03 03:31:59,"I can't check-in anywhere, even though when I tested the internet connection the results were stable. Thank you for this I can't go to the place that ordered the scan pedulilindungi, yes, almost everywhere"
Yasmin Collins,1,2021-10-03 02:42:45,"Useless. No solution for foreigners whatsoever. Not only it's considered a breach of privacy, lil thing is too damn difficult to manage. First, it's not in english. And second, although I got verified for my abroad vaccination, the application still cannot be used. Why? I did all the work for nothing. And I still can't get around places easily as promised. I've emailed them, no response nor solutions at all. What the hell do you guys want us to do?? Showing our vaccination cards SHOULD BE ENOUGH"
Tokyo Teddy,1,2021-09-24 10:15:12,"Messy UI, VERY MESSY. Important infos such as vaccine certificate went on the way behind many options. It should be on main page where people are usually asked to show their vaccine certificate to people. Login took longer that it supposed to be, and im not even sure whats the other purpose of this app beside showing certificate, tracking people movement and even pribate datas."
Riki Ahmad Suryanto,1,2021-10-04 23:46:02,"I don't know why, sometime I could not check in, and it was at the important momments, annoying, huh...? Re-tried, re-tried, again and again, and after I allmost got hopeless, it can. But still, it was annoying, everytime I use this app. Sorry..."
Muh. Ikhsan Hamid,1,2021-09-21 08:41:42,"It's always asking to activated the gps, why can't you just make the app using the gps when we're using it, very battery consuming.. and it always asked to restart my device to remove the notification even though i've already restarted it several times, the pop up notification still there, it's so annoying.."
Sigid Nugroho,4,2021-09-19 16:39:58,It is a very helpful app but please consider to change location permission from 'Allow all the time' to 'Allow only while using the app'. It is a battery drain and I suppose this app doesn't need to track my movement 24 hours a day.
Jimmy Agung Gunawan,1,2021-09-26 06:37:24,"Vaccine e-cert not working, application drained battery by acessing the location all the time (what for?). Scanning QR location creating ridiculous queue on the destination which can be locked by the drainerbatt-apps GPS locator. And this apps in beta version forced to handle production for millions ppl? Where is the server location anyway? cloud in Indonesia? Or SG? 😄 I prefer using the website model than apps like this."
Mel Mulyadi,1,2021-09-26 03:46:50,Works as well as it can for an Indonesian developed app for Indonesians but for international visitors it is a nightmare. Hope you fix this up as it causes a lot of unnecessary anxiousness for people who are not Indonesian and have a need to travel and use this app. Why is e-hac not available as a downloadable form at least from the website?
Rudy Chandra,1,2021-10-09 23:52:42,"I like the idea of this app, but this is a very bad app. Very unstable. I just did an antigen test several days ago, but it showed the result of the test only for a few days. Several times I could not check in to the place I visited because it said: out of range though I was exactly in front of the gate and QR code and many peoples experienced the same problem with me"
Syifa Muflihuna,2,2021-09-24 07:22:25,"Unnecessarily have statistics which don't update at all. Moreover, what kind of ""permission"" if I don't get to choose what I permit (ehem, u rly need my location 24/7?). Totally limits my privacy choice, and I don't trust the data's safety. Also draining battery. DON'T TELL ME TO TURN ON LIFE SAVING MODE ON MY PHONE. You, developers and government, are the one who needs to accept the fact that we don't want to share our location at all time! Anw hope more public place requires this app to enter"
Edina Prassista,1,2021-10-04 08:29:09,"I have tried so many times to input my number perfectly based on my Indonesian identity card, and yet it still deosn't work at all. Hopefully you could fix this problem, in order to edit and login the personal account of the user. 🙏🙏thank you."
Dedy Widjaya,3,2021-09-19 11:20:12,"Sometimes its work well, sometimes no. Cant login user not found happens many times even you already an user and logged in before. So i can say this app is not stable yet. Perhaps the server load is too high. Also the user interface was not designed well. NIK asked is several parts while the the user already input NIK in profile. As this app is nation wide user coverage so it should handles by proper team with professional ability."
Jayden Leo,2,2021-10-01 10:16:15,"This app often has countless number of errors like not being able to scan the QR code properly. My account somehow gets lost a lot of times and I have to type my e-mail and my NIC number repeatedly. Overall, this app is too slow and not efficient."
Henny Sumarlin,1,2021-10-06 12:43:28,I just uninstall the application. It's always error when I open it. And I can't access the location. Please fix it before many people use it. I had three times instal and uninstall it and always same. So now I won't use it again. It' drain my battery too.
Luqman Darmawan,1,2021-09-24 16:11:24,"Force you to keep the gps on all the time, if not the app will display annoying notification and it can't be swiped. This app suppose to make us convenient when travelling outside not to annoy us. Respect our privacy."
Sheala Novani,2,2021-09-19 11:30:17,"I know where this app wants to go, but the execution is very bad. Sometimes when i want to check in or check out it said that my session has expired and i have to log in back, but when i want to log in, there is a sign ""user not found"". What the hell, i don't care i just go home without doing check out, peace. Tell me when this app going better ✌🏻"
Alfonsus Aditya K,2,2021-09-24 08:00:21,"Too slow in process but very quick in out of the apps, so you have to open the apps several time. You also to insert your NIK every time you want to open your vaccine Certificate. Not practical/friendly use. Others are great."
A normal person not an alien,1,2021-09-21 23:39:27,"The login process for this app is too complicated, and the OTP code for login usually came late for me. That's why I could only use my email for login. I reinstalled this app too many times and after 5 or 6 times, I managed to login using my verified phone number. During that time, I couldn't download my vaccine's certificate since the website is just as unhelpful as the app. The costumer service of this app is unhelpful too since I emailed them too many times, they didn't responded all of it."
ama tary,1,2021-10-13 02:38:28,"Seriously, the quality and consistency of this app have to be enhanced. I have updated my both jabs and have appeared in the app, but the result of my vaccination are back to ""RED"" instead of ""GREEN"". What's wrong with the IT team? Be smart and updated. Do not ruin someone's life because of your own mistake. Please!"
Hendy Pratama,1,2021-10-09 05:24:22,"My phone's temperature always hot after i installed this aplication. Almost every 2 hour ""Power Consumption Peduli Lindungi"" used too much power notification appear. Recently i head the news about data breach. So i didnt find the positive side of this application"
aino cj,1,2021-09-21 01:06:47,"Execution is really bad, out of 5 days a week for work, i can only use it for 1-2 days. Whenever i want to check in it just says that the radius is too far, whats the use of using gps all the time if the gps is not even working? I've restarted(on off) my gps several times, and has no prob with other gps application, but my gps in this app is just stuck somewhere else. Can't you add a button that refreshes your location like in google maps? That way i can refresh my location manually."
Torah Simamora X MIPA 2,1,2021-09-20 05:03:31,"Overall a very disappointing app from the government, there are so many errors that i experienced that if i make a list about it, it will easily surpass 1000 words. Some of these errors include = A. An error that prevents me from entering my birthdate B. Statistics takes a very long time to load C. The vaccine certificate won't appear (i'm already vaxxed twice) And many other errors that i would probably encounter later. Please fix this app, JAKI does a better job than this app."
Devadas Nair,1,2021-09-26 06:01:32,"V. V. Poor. Until now, the system shows wrong passport no although i keep keying in the correct one. In another page, it says second vaccination done, but vaksin sertficate page says, check your data . Also, ut cannot capture the date of birth . At a total loss what to do."
Superluminal Speed,1,2021-09-20 06:28:23,"Collect to many data, some of it not necessary for covid tracking, background location tracking, you can't use the app if you chose ""allow location access only while using the app"" you must chose allow all the time to use the app."
Yulia Boen,1,2021-09-23 09:13:39,My vaccination certificate hadn't been updated in the apps from Aug 23 2021 till now. The apps dont function well. Even the contact email address of the developer is erroneous. It is indeed desperate for the users who experience things like me.
I.L.,1,2021-09-21 05:38:45,"GPS permission is draining battery, and the app won't open to the main screen if i choose to allow location permission only while using the app, fix this bcz not every user want to allow location permission all the time. And there is no settings menu?"
Made Raja Adi,2,2021-09-18 00:23:20,"There's a lot af problem in this app. Slow loading at home screen, date picker at birth date when filling user profile is not user friendly. I recommend that user can select year and month rather than only select month for the birth date, user must re-fill the application form when user fill up NIK and birth date before email. Please Fix this ASAP."
Ophilia Intan,2,2021-09-15 06:36:57,"We got 3 options for the location privacy setting but we really just can choose one, the always on. What's the point then? It only drains our battery and do more harm than good. For a mandatory app, it's sucks. Please fix it."
Handy Winata,3,2021-09-25 05:09:13,"Between the constantly annoying updates, slow response, and disjointed connection with other tracking apps (eHAC); this app is a necessary evil to have. Please fix it, unless being BUMN sponsored app is an excuse for a mediocre product."
星空ルウコ,1,2021-09-26 01:26:51,"Cant get rid of that thing on notification, and always need location permission, its battery consuming, i dont like this app. edit : it seems you dont know what i mean I dont want the app to always need my location , it's annoying."
ical icul,1,2021-10-04 11:45:37,"This app tells me that i need to complete my profile before i can use the QR Code scanner to visit a place, but when i want to complete the profile, it tells me that my full name doesn't same with my NIK. im already submit with the same as stated at my KTP but the app tells me wrong. also there is no contact center or something to help us, so i decided to leave the place and i cannot going anywhere that requires to scan the QR thing.. thanks for your economy."
Dewi Juliati,4,2021-09-21 07:05:51,"After update to a new one, the vacation Sertivicate don't appear. And always have to input NIK, still the data didn't show up. How come the important application, like this!"
Farris Purwoko,1,2021-09-26 00:40:34,"When you open the app, it asked for a phone number, then inside we still need to register our phone number, and i put exactly the same phone number i've put previously. AND the app REJECTED IT. Whats funnier is that they gave a notification yet i'm unable to read the whole sentence. like how? This is an app every1 should have right? The sytem is hella confusing"
Yarianto NK,1,2021-09-23 07:34:18,"It failed to record my data because each time I filled my birthdate it refused to fill it, the calendar popped up but when I chose my birthdate it left me with blank birthdate field! And it kept doing that. I have no idea. Please fix the bug!"
kuroku rookie,1,2021-10-05 13:08:40,"u want review.. i reviewed for nearly 500 words how ineffective and inefficient this apps so far based on mobile data/available connection, constant need to tract the user location, the size of the app which u can reduce to make it more simple and easier to use since there are many useless things u added to make the interface looks good.. and u deleted my review? nice to know.. just suggestion, if u take review as offense, better make the app in ""early access"" mode so no one can leave the review"
Atikah Syahidah,1,2021-09-27 05:46:55,I can't login to the application and I've been tried for several days. It always suddenly closed after I input my email for login. Please fix it as soon as possible.
Duff G,1,2021-10-05 08:44:05,"2 times did Swab, but not updated. Already shown by the provider, that they have upload into PeduliLindungi system, but not shown in the Apps. It's also require to access location, storage and camera. Potentially Breach of privacy"
Alma Sigalingging,1,2021-09-17 05:50:27,"I don't like the fact that i need to turn on my location all the time even when i am not using the application, it makes me feel unsafe towards my surrounding. And the possibilities of someone tracking my whereabouts and my personal identity getting hack (like our president) are making me uneasy and wary."
Melissa Ng,1,2021-10-09 17:33:22,"Cannot even be used. I have activated my location but the notification to activate my location still keep pop up. And after i try several times, it wrote as ""lokasi Anda terdeteksi sebagai lokasi buatan"" and i have to close the apps and try again after 5 minutes. Then it still goes on no matter how many times i tried."
T N,1,2021-09-24 00:43:42,"data not update, already contact to the provided email, no response and no change. app demand location service 24/7, and can't functioning if opt for use location only when use app. privacy concern here. poor design app."
Anggono Indrie,1,2021-09-24 06:47:17,"1. Consuming battery extremely. This is suppossed to be general mobile app, not mobile game. Why do you need user to remind this? 2. SMS for OTP is not working! What is your point to design OTP? It's useless since no payment bussiness, secret document, confidential info, etc etc .. 3. The number of people inside the building is absolutely not accurate since we need to check out manually once we get out, nobody will do it. You need to design auto check out based on the distance of the building"
Jevin Stanley,2,2021-09-19 03:53:20,This app is literally kiling and draining so much power. Like a minute after my phone charge untill 100% is suddenly drops to 97% percent since I download this app. And also why does this app always asking allowance for some feature or action from my phone. Even though I allready allow all the action or feature in my phone. This makes me cannot use this app at all. Also why does this app performance is so slugish and slow. Please fix this problem.
Rizky,1,2021-09-25 07:10:10,"For a supposedly essential app, this app is the worst. Sometimes its stuck in the opening logo, or stuck when we want to check out and various other problems. GET IT RIGHT! WITH THE BUDGET YOU HAVE THIS THINGS SHOULDN'T BE HAPPENING!"
Chris Syauta,1,2021-09-19 11:26:30,"It stated that I registered successfully. Then, while creating an ehac, it stated that I need to login again. Tried logging in again, but it now states that user not found. Wth? Tried to reregister, but app wouldnt connect now. So frustrating."
Chamomile,2,2021-10-06 08:29:47,"Tooooo complicated! Don't know why I have to keep login by sending the code from the email or phone! And also the notification about tracking my location is keep coming everytime I click some button, sooo disturbing such an advert!!"
Renato Langfeldt,1,2021-09-14 02:24:57,"Terrtible app, not english at all. How are foreigners supposéd to use it to enter malls,tourist venues etc if no data can be uploaded? I think the government´s idea is good but the app is so poorly done that it has ZERO usage. It drains the battery and data ."
Candy Lee,4,2021-09-19 15:34:56,"Really wish our gov find proper dev to build this app. The app behaviour is quite erratic. I allowed location access, but it still keep asking me for the same permission that i just allowed it to. It also doesn't seem to support ""permission only while using the app"". -- Now for older phone this app is terrible. Keep crashing, some tabs couldn't be opened. App for android phone isn't easy. But this is backed by our gov. Should be more reliable."
Fikri Ahmad Maulana,1,2021-09-30 06:51:17,One of the hardest app to log in even though all personal data are correct. Please fix the bugs before adding more feature. Thank you.
Novia Sonery,1,2021-09-20 17:37:48,"Consume so much battery life. Once you logged out, you need to accept and confirm all those policy to be log in again. So many unneeded verification. There are no fingerprint or face recognition features for the log in. This app is in a serious need of a better upgrade."
Steve Siebert,1,2021-10-01 10:05:47,"The user doesn't care about how the app works and just compare it with other app Why it is worst app ever? 1. User should not need to alway allow location access. Why? Because it drains battery 2. Why is there even a need to do that in every page? That's just super annoying 3. While the gps is ON it still ask to turn it on just because I won't give ""always allow"" that drain battery is super annoying"
Stanley Haryanto,3,2021-09-24 05:36:57,"My main problem is its keeps draining my battery by using location all the time. the UI seems fine but the UX is very complicated I need to dig quite deep to find my vaccine certificate, not very intuitive"
hauw tan,1,2021-09-17 06:49:59,Drain a lot your phone`s battery.. because it turns on the GPS all the time and never turned it off even we close the app.. unless we force stop it. And a lot of security and bugs issue.. come one it is an official goverment app why you cant do alot better ???
Allto Reffi Maldini,1,2021-09-15 02:40:34,"Sorry to say, this app is a trash. First, I've just installed the latest version but when i open the app, it says ""please update the app"". Second, my profile just not valid. My vaccine certificate not listed in this app. I've done my 2nd dose of vaccine in several month ago. What a shame!"
Nana Mariana,1,2021-10-07 03:54:13,"Not user friendly. Everytime need to sign in, must fulfill the whole data. Location requirement eventhough only opening the apps is very uncomfortable at all. Literally dismiss people's privacy🙏🏽"
Darman Purba,2,2021-10-04 12:28:35,"I don't know why, my certificate could not be displayed. I have restarted my phone twice, no changes at all. However barcode scan is working yet."
